,Channel Title,Channel Username,ID,Message,Date,Media Path
21,Sheger online-store,@Shageronlinestore,5313,"4Pcs isolated lunch box with bag 

በውስጡ 4 የምሳ ዕቃወች የያዘ
leakproof
stainless still food grade materials
ምግብዎን ሳያቀዘቅዝ እንደሞቀ ሚያቆይ
    

        በቢሮዎ ውስጥ
          ለልጆች ትምህርት ቤት


      ዋጋ:-3200ብር


ውስን ፍሬ ነው ያለን


 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0973611819


   

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-18 06:22:40+00:00,
22,Sheger online-store,@Shageronlinestore,5312,"4Pcs isolated lunch box with bag 

በውስጡ 4 የምሳ ዕቃወች የያዘ
leakproof
stainless still food grade materials
ምግብዎን ሳያቀዘቅዝ እንደሞቀ ሚያቆይ
    

        በቢሮዎ ውስጥ
          ለልጆች ትምህርት ቤት


      ዋጋ:-3200ብር


ውስን ፍሬ ነው ያለን


 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0973611819


   

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-18 06:17:49+00:00,photos/@Shageronlinestore_5312.jpg
23,Sheger online-store,@Shageronlinestore,5311," Telescopic Stainless Steel Majic Mop

 ማጂክ መወልወያ
 ውሃ በከፍተኛ ደረጃ ይመጣል
በራሱ ይጨምቃል ከእጅ ንኪኪ ነፃ

         ዋጋ፦ 800 ብር


ውስን ፍሬ ነው የቀረው 
< Limited Stock 

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 14:54:46+00:00,
24,Sheger online-store,@Shageronlinestore,5310," Telescopic Stainless Steel Majic Mop

 ማጂክ መወልወያ
 ውሃ በከፍተኛ ደረጃ ይመጣል
በራሱ ይጨምቃል ከእጅ ንኪኪ ነፃ

         ዋጋ፦ 800 ብር


ውስን ፍሬ ነው የቀረው 
< Limited Stock 

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 14:47:03+00:00,photos/@Shageronlinestore_5310.jpg
25,Sheger online-store,@Shageronlinestore,5309,"Portable menstural heating pad

በወር አበባ ወቅት ለሚመጡ ህመሞች ፍቱን መፍትሄ

period pain relief
high quality material
portable and rechargable
quick pain relief
total comfort
Best gift for friends, family or loved ones.
       ዋጋ:-1900ብር

ውስን ፍሬ ነው ያለን

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 08:56:08+00:00,
26,Sheger online-store,@Shageronlinestore,5308,"Portable menstural heating pad

በወር አበባ ወቅት ለሚመጡ ህመሞች ፍቱን መፍትሄ

period pain relief
high quality material
portable and rechargable
quick pain relief
total comfort
Best gift for friends, family or loved ones.
       ዋጋ:-1900ብር

ውስን ፍሬ ነው ያለን

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 08:55:49+00:00,
27,Sheger online-store,@Shageronlinestore,5307,"Portable menstural heating pad

በወር አበባ ወቅት ለሚመጡ ህመሞች ፍቱን መፍትሄ

period pain relief
high quality material
portable and rechargable
quick pain relief
total comfort
Best gift for friends, family or loved ones.
       ዋጋ:-1900ብር

ውስን ፍሬ ነው ያለን

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 08:55:30+00:00,
32,Sheger online-store,@Shageronlinestore,5302,"Portable menstural heating pad

በወር አበባ ወቅት ለሚመጡ ህመሞች ፍቱን መፍትሄ

period pain relief
high quality material
portable and rechargable
quick pain relief
total comfort
Best gift for friends, family or loved ones.

       ዋጋ:-1900ብር

ውስን ፍሬ ነው ያለን

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 08:50:56+00:00,photos/@Shageronlinestore_5302.jpg
33,Sheger online-store,@Shageronlinestore,5301," Reusable convenience LVy Grip Tape
High Quality 
® ውፍራም ቲክነስ ያለው አንደኛው
#ሕይወትዎን_የሚያቀል_ፕላስተር
ቆራርጠን መጠቀም የምንችለዉ
በ ሁለቱም ጎን አጣብቆ መያዝ የሚችል
ታጥቦ እንደገና ጥቅም ላይ ሊውል የሚችል 
ለስራ ቦታ ፣ለኪችንዎ... ተመራጭ

Size: 3 Meter 
 Double Sided Tape 
Reusable,  Removable & Washable 
 Ivy Grip Tape Life Magic Tape 
Seamless hook, 
nano-sol all-purpose tape


ዋጋ፦    3ሜትር 500 ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0985511819



     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 05:20:55+00:00,
34,Sheger online-store,@Shageronlinestore,5300," Reusable convenience LVy Grip Tape
High Quality 
® ውፍራም ቲክነስ ያለው አንደኛው
#ሕይወትዎን_የሚያቀል_ፕላስተር
ቆራርጠን መጠቀም የምንችለዉ
በ ሁለቱም ጎን አጣብቆ መያዝ የሚችል
ታጥቦ እንደገና ጥቅም ላይ ሊውል የሚችል 
ለስራ ቦታ ፣ለኪችንዎ... ተመራጭ

Size: 3 Meter 
 Double Sided Tape 
Reusable,  Removable & Washable 
 Ivy Grip Tape Life Magic Tape 
Seamless hook, 
nano-sol all-purpose tape


ዋጋ፦    3ሜትር 500 ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

 አድራሻ   መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-17 05:20:55+00:00,
36,Sheger online-store,@Shageronlinestore,5298," ከፍተኛ ሙቀት የሚችል ሴራሚክ የላዛኛ መስሪያ እንዲሁም ማቅረቢያ

family size
material:-ceramic
ኦቭን ውስጥ መገባት እሚችል

       ዋጋ:-1700 ብር


ውስን ፍሬ ነው ያለን

 አድራሻ  ቁ.1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-16 12:41:29+00:00,photos/@Shageronlinestore_5298.jpg
37,Sheger online-store,@Shageronlinestore,5297,"Flame Aroma Diffuser Humidifier

በኤሌክትሪክ የሚሰራ 
 ለቤት መልካም መዓዛን የሚሰጥ


Purify the air & Beautify the Environment


very effective: Usb power interface, convenient and quick operation, can be used anywhere.

              ዋጋ፦ 1,450 ብር

 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0971611819



     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-16 05:13:52+00:00,
40,Sheger online-store,@Shageronlinestore,5294,"Flame Aroma Diffuser Humidifier

በኤሌክትሪክ የሚሰራ 
 ለቤት መልካም መዓዛን የሚሰጥ


Purify the air & Beautify the Environment


very effective: Usb power interface, convenient and quick operation, can be used anywhere.

              ዋጋ፦ 1,450 ብር

 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0971611819



     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-16 05:09:30+00:00,photos/@Shageronlinestore_5294.jpg
41,Sheger online-store,@Shageronlinestore,5291,"3Pcs isolated lunch box with bag 

በውስጡ ሶስተት የተለያየ መጠን ያላቸው የምሳ ዕቃወች የያዘ
leakproof
stainless still food grade materials
ምግብዎን ሳያቀዘቅዝ እንደሞቀ ሚያቆይ
    

        በቢሮዎ ውስጥ
          ለልጆች ትምህርት ቤት


      ዋጋ:-2800ብር


ውስን ፍሬ ነው ያለን


 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0971611819


   

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-15 13:46:31+00:00,photos/@Shageronlinestore_5291.jpg
46,Sheger online-store,@Shageronlinestore,5286,"3Pcs isolated lunch box with bag 

በውስጡ ሶስተት የተለያየ መጠን ያላቸው የምሳ ዕቃወች የያዘ
leakproof
stainless still food grade materials
ምግብዎን ሳያቀዘቅዝ እንደሞቀ ሚያቆይ
    

        በቢሮዎ ውስጥ
          ለልጆች ትምህርት ቤት


      ዋጋ:-2800ብር


ውስን ፍሬ ነው ያለን


 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0971611819


   

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-15 13:45:31+00:00,photos/@Shageronlinestore_5286.jpg
47,Sheger online-store,@Shageronlinestore,5285,"3Pcs isolated lunch box with bag 

በውስጡ ሶስተት የተለያየ መጠን ያላቸው የምሳ ዕቃወች የያዘ
leakproof
stainless still food grade materials
ምግብዎን ሳያቀዘቅዝ እንደሞቀ ሚያቆይ
    

        በቢሮዎ ውስጥ
          ለልጆች ትምህርት ቤት


      ዋጋ:-2800ብር


ውስን ፍሬ ነው ያለን


 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0971611819


   

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-15 13:42:25+00:00,
48,Sheger online-store,@Shageronlinestore,5284,"እንኳን ለመውሊድ በዓል በሰላም አደረሰዎ

መልካም በዓል",2024-09-15 08:53:29+00:00,photos/@Shageronlinestore_5284.jpg
49,Sheger online-store,@Shageronlinestore,5283," ውድ ደንበኞቻችን ሱቃችን ዛሬ  እሁድ ከ5:00-9:00 ስዓት ክፍት መሆኑን በአክብሮት እንገልፃልን።


 ዘዉትር ሰኞ-ቅዳሜ ከጥዋቱ 3:00 እስከ ምሽቱ 2:00 ክፍት መሆኑን በአክብሮት እንገልፃለን


 አድራሻ   መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-15 07:06:34+00:00,photos/@Shageronlinestore_5283.jpg
50,Sheger online-store,@Shageronlinestore,5282,"Aroma therapy  essential oil for humidifier

በተለያዩ መዓዛዎች


         ዋጋ:- 1ፍሬ -350ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-14 06:39:06+00:00,photos/@Shageronlinestore_5282.jpg
